trial,trt,site,indiv,CR_Time_s,PR_Time_s,CE_Time_s,PE_Time_s,HI,EX,CR_CE_time,tube_diameter_cm
3,high sediment,bmsc south docks,13,16,,251,236,,,235,0.64
3,high sediment,bmsc south docks,17,16,,,,,,600,0.41
3,high sediment,bmsc south docks,5,16,,,31,,,600,0.72
3,high sediment,bmsc south docks,8,16,,115,,,,99,1
3,high sediment,island health dock,23,16,,106,96,,,90,1
3,high sediment,island health dock,39,16,,,,,,600,0.56
3,high sediment,island health dock,46,16,,181,136,,,165,0.56
3,high sediment,island health dock,60,16,,236,136,,,220,0.74
3,high sediment,bmsc south docks,13,10,,120,75,,,110,0.64
3,high sediment,bmsc south docks,17,,,,,,EX,0,0.41
3,high sediment,bmsc south docks,5,10,,60,35,,,50,0.72
3,high sediment,bmsc south docks,8,10,,105,75,,,95,1
3,high sediment,island health dock,23,10,,270,250,,,260,1
3,high sediment,island health dock,39,10,,440,420,,,430,0.56
3,high sediment,island health dock,46,10,,,,,,600,0.56
3,high sediment,island health dock,60,10,,215,170,,,205,0.74
3,high sediment,bmsc south docks,13,15,,80,40,,,65,0.64
3,high sediment,bmsc south docks,17,,,,,,,600,0.41
3,high sediment,bmsc south docks,5,15,,50,30,,,35,0.72
3,high sediment,bmsc south docks,8,,,,,HI,,600,1
3,high sediment,island health dock,23,15,,265,245,,,250,1
3,high sediment,island health dock,39,15,,145,75,,,130,0.56
3,high sediment,island health dock,46,15,,235,205,,,220,0.56
3,high sediment,island health dock,60,15,,195,115,,,180,0.74
3,high sediment,bmsc south docks,13,,,,,HI,,600,0.64
3,high sediment,bmsc south docks,17,,,,,,,0,0.41
3,high sediment,bmsc south docks,5,10,,85,50,,,75,0.72
3,high sediment,bmsc south docks,8,,,,,HI,,600,1
3,high sediment,island health dock,23,10,,75,50,,,65,1
3,high sediment,island health dock,39,10,,70,45,,,60,0.56
3,high sediment,island health dock,46,10,,110,50,,,100,0.56
3,high sediment,island health dock,60,10,,195,175,,,185,0.74
